ind,group,continent,country,state,year,Pop,admix
Pd_52,group1,N_America,Canada,Ontario,2010,pop06,0.000100026329164393
Pd_52,group1,N_America,Canada,Ontario,2010,pop07,0.000100026329164393
Pd_53,group1,N_America,USA,Tennessee,2010,pop01,0.999399662017822
Pd_53,group1,N_America,USA,Tennessee,2010,pop02,0.000100035140349064
Pd_53,group1,N_America,USA,Tennessee,2010,pop03,0.000100035140349064
Pd_53,group1,N_America,USA,Tennessee,2010,pop04,0.000100035140349064
Pd_53,group1,N_America,USA,Tennessee,2010,pop05,0.000100035140349064
Pd_53,group1,N_America,USA,Tennessee,2010,pop06,0.000100035140349064
Pd_53,group1,N_America,USA,Tennessee,2010,pop07,0.000100035140349064
Pd_54,group1,N_America,USA,Vermont,2008,pop01,0.998721420764923
Pd_54,group1,N_America,USA,Vermont,2008,pop02,0.000100123528682161
Pd_54,group1,N_America,USA,Vermont,2008,pop03,0.000777878914959729
Pd_54,group1,N_America,USA,Vermont,2008,pop04,0.000100123528682161
Pd_54,group1,N_America,USA,Vermont,2008,pop05,0.000100123528682161
Pd_54,group1,N_America,USA,Vermont,2008,pop06,0.000100123528682161
Pd_54,group1,N_America,USA,Vermont,2008,pop07,0.000100123528682161
Pd_55,group1,N_America,USA,Connecticut,2009,pop01,0.999399483203888
Pd_55,group1,N_America,USA,Connecticut,2009,pop02,0.000100071069027763
Pd_55,group1,N_America,USA,Connecticut,2009,pop03,0.000100071069027763
Pd_55,group1,N_America,USA,Connecticut,2009,pop04,0.000100071069027763
Pd_55,group1,N_America,USA,Connecticut,2009,pop05,0.000100071069027763
Pd_55,group1,N_America,USA,Connecticut,2009,pop06,0.000100071069027763
Pd_55,group1,N_America,USA,Connecticut,2009,pop07,0.000100071069027763
Pd_56,group1,N_America,USA,Virginia,2009,pop01,0.998440861701965
Pd_56,group1,N_America,USA,Virginia,2009,pop02,0.000100132514489815
Pd_56,group1,N_America,USA,Virginia,2009,pop03,0.00105836184229702
Pd_56,group1,N_America,USA,Virginia,2009,pop04,0.000100132514489815
Pd_56,group1,N_America,USA,Virginia,2009,pop05,0.000100132514489815
