ind,continent,country,state,year,Pop,admix
Pd_67,N_America,Canada,Ontario,2010,pop05,0.000100225144706201
Pd_67,N_America,Canada,Ontario,2010,pop06,0.000100225144706201
Pd_67,N_America,Canada,Ontario,2010,pop07,0.000100225144706201
Pd_68,N_America,USA,Tennessee,2010,pop01,9.84790895017795e-05
Pd_68,N_America,USA,Tennessee,2010,pop02,9.84787620836869e-05
Pd_68,N_America,USA,Tennessee,2010,pop03,0.540554225444794
Pd_68,N_America,USA,Tennessee,2010,pop04,0.0234154053032398
Pd_68,N_America,USA,Tennessee,2010,pop05,0.0144733572378755
Pd_68,N_America,USA,Tennessee,2010,pop06,0.421261548995972
Pd_68,N_America,USA,Tennessee,2010,pop07,9.84787620836869e-05
Pd_72,N_America,Canada,New Brunswick,2012,pop01,9.70867913565598e-05
Pd_72,N_America,Canada,New Brunswick,2012,pop02,9.70867913565598e-05
Pd_72,N_America,Canada,New Brunswick,2012,pop03,0.11436539888382
Pd_72,N_America,Canada,New Brunswick,2012,pop04,0.0246652998030186
Pd_72,N_America,Canada,New Brunswick,2012,pop05,0.552767813205719
Pd_72,N_America,Canada,New Brunswick,2012,pop06,0.118727333843708
Pd_72,N_America,Canada,New Brunswick,2012,pop07,0.189279913902283
Pd_73,N_America,USA,Missouri,2012,pop01,9.94276415440254e-05
Pd_73,N_America,USA,Missouri,2012,pop02,9.94276415440254e-05
Pd_73,N_America,USA,Missouri,2012,pop03,9.94276415440254e-05
Pd_73,N_America,USA,Missouri,2012,pop04,9.94276415440254e-05
Pd_73,N_America,USA,Missouri,2012,pop05,0.318934500217438
Pd_73,N_America,USA,Missouri,2012,pop06,0.287199586629868
Pd_73,N_America,USA,Missouri,2012,pop07,0.393468230962753
Pd_74,N_America,USA,Virginia,2011,pop01,0.0600949265062809
Pd_74,N_America,USA,Virginia,2011,pop02,0.712113261222839
Pd_74,N_America,USA,Virginia,2011,pop03,0.225322812795639
Pd_74,N_America,USA,Virginia,2011,pop04,0.00217040721327066
Pd_74,N_America,USA,Virginia,2011,pop05,9.94797810562886e-05
Pd_74,N_America,USA,Virginia,2011,pop06,9.94797810562886e-05
Pd_74,N_America,USA,Virginia,2011,pop07,9.94797810562886e-05
Pd_75,N_America,USA,Tennessee,2011,pop01,0.100106246769428
Pd_75,N_America,USA,Tennessee,2011,pop02,0.899385154247284
Pd_75,N_America,USA,Tennessee,2011,pop03,0.000100072538771201
Pd_75,N_America,USA,Tennessee,2011,pop04,0.000100072538771201
Pd_75,N_America,USA,Tennessee,2011,pop05,0.000100072538771201
Pd_75,N_America,USA,Tennessee,2011,pop06,0.000108203290437814
Pd_75,N_America,USA,Tennessee,2011,pop07,0.000100072538771201
Pd_76,N_America,USA,Indiana,2011,pop01,9.85343285719864e-05
Pd_76,N_America,USA,Indiana,2011,pop02,9.85343285719864e-05
Pd_76,N_America,USA,Indiana,2011,pop03,0.733065247535706
Pd_76,N_America,USA,Indiana,2011,pop04,0.020362377166748
Pd_76,N_America,USA,Indiana,2011,pop05,0.0215513836592436
Pd_76,N_America,USA,Indiana,2011,pop06,0.210585698485374
Pd_76,N_America,USA,Indiana,2011,pop07,0.0142382979393005
Pd_77,N_America,USA,Indiana,2011,pop01,0.000100350735010579
Pd_77,N_America,USA,Indiana,2011,pop02,0.968530058860779
Pd_77,N_America,USA,Indiana,2011,pop03,0.00773851526901126
Pd_77,N_America,USA,Indiana,2011,pop04,0.00281881517730653
Pd_77,N_America,USA,Indiana,2011,pop05,0.000100350735010579
Pd_77,N_America,USA,Indiana,2011,pop06,0.000100350735010579
Pd_77,N_America,USA,Indiana,2011,pop07,0.0206115171313286
Pd_78,N_America,USA,Deleware,2012,pop01,9.94116635411046e-05
Pd_78,N_America,USA,Deleware,2012,pop02,9.94116635411046e-05
Pd_78,N_America,USA,Deleware,2012,pop03,0.339176833629608
Pd_78,N_America,USA,Deleware,2012,pop04,0.0140281934291124
Pd_78,N_America,USA,Deleware,2012,pop05,9.94116635411046e-05
Pd_78,N_America,USA,Deleware,2012,pop06,0.581766486167908
Pd_78,N_America,USA,Deleware,2012,pop07,0.0647301748394966
Pd_79,N_America,USA,Maine,2011,pop01,9.91590859484859e-05
Pd_79,N_America,USA,Maine,2011,pop02,9.91590859484859e-05
Pd_79,N_America,USA,Maine,2011,pop03,0.565722703933716
Pd_79,N_America,USA,Maine,2011,pop04,0.0123140271753073
Pd_79,N_America,USA,Maine,2011,pop05,0.00010785643098643
Pd_79,N_America,USA,Maine,2011,pop06,0.407553285360336
Pd_79,N_America,USA,Maine,2011,pop07,0.0141039034351707
Pd_82,N_America,Canada,Ontario,2014,pop01,0.0629694610834122
Pd_82,N_America,Canada,Ontario,2014,pop02,0.000100156365078874
Pd_82,N_America,Canada,Ontario,2014,pop03,0.000100156365078874
Pd_82,N_America,Canada,Ontario,2014,pop04,0.000100156365078874
Pd_82,N_America,Canada,Ontario,2014,pop05,0.936529755592346
Pd_82,N_America,Canada,Ontario,2014,pop06,0.000100156365078874
Pd_82,N_America,Canada,Ontario,2014,pop07,0.000100156365078874
Pd_83,N_America,Canada,Nova Scotia,2013,pop01,0.000100401877716649
Pd_83,N_America,Canada,Nova Scotia,2013,pop02,0.0179373230785131
Pd_83,N_America,Canada,Nova Scotia,2013,pop03,0.000100401877716649
Pd_83,N_America,Canada,Nova Scotia,2013,pop04,0.000100401877716649
Pd_83,N_America,Canada,Nova Scotia,2013,pop05,0.975788712501526
Pd_83,N_America,Canada,Nova Scotia,2013,pop06,0.000103110854979604
Pd_83,N_America,Canada,Nova Scotia,2013,pop07,0.00586963957175612
Pd_84,N_America,Canada,New Brunswick,2012,pop01,0.0010968433925882
Pd_84,N_America,Canada,New Brunswick,2012,pop02,0.0162032712250948
Pd_84,N_America,Canada,New Brunswick,2012,pop03,0.0189288910478354
Pd_84,N_America,Canada,New Brunswick,2012,pop04,0.00943128112703562
Pd_84,N_America,Canada,New Brunswick,2012,pop05,0.954140424728394
Pd_84,N_America,Canada,New Brunswick,2012,pop06,9.96272792690434e-05
Pd_84,N_America,Canada,New Brunswick,2012,pop07,9.96272792690434e-05
Pd_85,N_America,Canada,New Brunswick,2012,pop01,9.85147635219619e-05
Pd_85,N_America,Canada,New Brunswick,2012,pop02,0.00661848112940788
Pd_85,N_America,Canada,New Brunswick,2012,pop03,0.00898165907710791
Pd_85,N_America,Canada,New Brunswick,2012,pop04,0.0149700650945306
Pd_85,N_America,Canada,New Brunswick,2012,pop05,0.949781000614166
Pd_85,N_America,Canada,New Brunswick,2012,pop06,0.0194517895579338
Pd_85,N_America,Canada,New Brunswick,2012,pop07,9.85147635219619e-05
